ASSET,ISO_DATE,SOURCE_DATE_RAW,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
BTC,2024-03-08,08 Mar 2024,336.3,130.3,8,1.7,-7.6,8,41.4,7.8,0,0,-302.9,0,223
BTC,2024-03-11,11 Mar 2024,562.9,215.5,49.8,13,-9.7,0,43.4,118.8,5.8,0,-494.1,0,505.4
BTC,2024-03-12,12 Mar 2024,849,51.6,24.6,93,-19.7,0,39.6,82.9,3,0,-79,0,1045
BTC,2024-03-13,13 Mar 2024,586.5,281.5,5.6,44.6,0,19.1,4.1,16.5,2.3,0,-276.5,0,683.7
BTC,2024-03-14,14 Mar 2024,345.4,13.7,0,3.5,0,4,9.4,13.8,0,0,-257.1,0,132.7
BTC,2024-03-15,15 Mar 2024,139.8,155.6,20.5,0,0,2,1.2,15.8,3.3,0,-139.4,0,198.8
BTC,2024-03-18,18 Mar 2024,451.5,5.9,17.6,2.7,0,0,4.8,5.7,0,0,-642.5,0,-154.3
BTC,2024-03-19,19 Mar 2024,75.2,39.6,2.5,0,0,0,0,0,0,0,-443.5,0,-326.2
BTC,2024-03-20,20 Mar 2024,49.3,12.9,18.6,23.3,-10.2,19,2.9,9.3,0,0,-386.6,0,-261.5
BTC,2024-03-21,21 Mar 2024,233.4,2.9,12,2,4.2,3.8,4.7,1.8,0,0,-358.8,0,-94
BTC,2024-03-22,22 Mar 2024,18.9,18.1,16.3,5.4,4.5,29.6,25.5,0,0,0,-169.9,0,-51.6
BTC,2024-03-25,25 Mar 2024,35.5,261.8,14,0,18.5,20.5,11.2,4,0,0,-350.1,0,15.4
BTC,2024-03-26,26 Mar 2024,162.2,279.1,16.7,73.6,26.7,26.3,29.9,15.8,0,0,-212.3,0,418
BTC,2024-03-27,27 Mar 2024,323.8,1.5,0,200.7,4.8,4,5.1,1.9,1.5,0,-299.8,0,243.5
BTC,2024-03-28,28 Mar 2024,95.1,68.1,67,27.6,3.9,0,6,20,0,0,-104.9,0,182.8
BTC,2024-03-29,29 Mar 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-04-01,01 Apr 2024,165.9,44,1.1,-0.3,4.2,0,0,2,0,0,-302.6,0,-85.7
BTC,2024-04-02,02 Apr 2024,150.5,44.8,4.3,-87.5,0,0,3.7,5.6,0,0,-81.9,0,39.5
BTC,2024-04-03,03 Apr 2024,42,116.7,23,0,0,3.8,0,0,3.1,0,-75.1,0,113.5
BTC,2024-04-04,04 Apr 2024,144,106.6,11.2,12,0,0,3.4,15.5,0,0,-79.3,0,213.4
BTC,2024-04-05,05 Apr 2024,308.8,83,7.4,0,2.7,0,0,0,0,0,-198.9,0,203
BTC,2024-04-08,08 Apr 2024,21.3,6.3,40.3,9.3,0,0,0,0,2.3,0,-303.3,0,-223.8
BTC,2024-04-09,09 Apr 2024,128.7,3,3.8,0,0,0,0,0,0,0,-154.9,0,-19.4
BTC,2024-04-10,10 Apr 2024,33.3,76.3,24.3,7.3,0,0,0,0,0,0,-17.5,0,123.7
BTC,2024-04-11,11 Apr 2024,192.1,4.6,11.1,0,0,0,8.4,0,0,0,-124.9,0,91.3
BTC,2024-04-12,12 Apr 2024,111.1,0,0,0,0,0,0,0,0,0,-166.2,0,-55.1
BTC,2024-04-15,15 Apr 2024,73.4,0,0,0,0,0,0,0,0,0,-110.1,0,-36.7
BTC,2024-04-16,16 Apr 2024,25.8,1.4,0,-12.9,0,1.8,1.7,3.6,0,0,-79.4,0,-58
BTC,2024-04-17,17 Apr 2024,18.1,0,-7.3,-42.7,0,0,0,0,0,0,-133.1,0,-165
BTC,2024-04-18,18 Apr 2024,18.8,37.4,12.8,9.5,0,0,0,7.2,0,0,-90,0,-4.3
BTC,2024-04-19,19 Apr 2024,29.3,54.8,4.9,12.5,3.9,1.9,0,-1.8,0,0,-45.8,0,59.7
BTC,2024-04-22,22 Apr 2024,19.7,34.8,2.2,22.6,2.7,7.7,0,7.5,0,0,-34.9,0,62.3
BTC,2024-04-23,23 Apr 2024,37.9,4.4,23.2,33.3,0,1.9,0,2,0,0,-66.9,0,35.8
BTC,2024-04-24,24 Apr 2024,0,5.6,0,4.2,0,1.9,0,3.9,0,0,-130.4,0,-114.8
BTC,2024-04-25,25 Apr 2024,0,0,0,0,0,1.9,0,0,0,0,-139.4,0,-137.5
BTC,2024-04-26,26 Apr 2024,0,0,0,5.4,0,1.9,0,0,0,0,-82.4,0,-75.1
BTC,2024-04-29,29 Apr 2024,0,34.8,0,0,0,1.8,0,0,0,0,-24.7,0,11.9
BTC,2024-04-30,30 Apr 2024,0,0,0,0,0,0,0,0,0,0,-93.2,0,-93.2
BTC,2024-05-01,01 May 2024,0,0,0,0,0,0,0,0,0,0,-167.4,0,-167.4
BTC,2024-05-02,02 May 2024,0,0,0,0,0,0,0,0,0,0,-54.9,0,-54.9
BTC,2024-05-03,03 May 2024,12.7,102.6,33.5,28.1,33.2,60.9,35.6,8.4,0,0,-63,0,252
BTC,2024-05-06,06 May 2024,21.5,99.2,2,75.6,11.1,1.8,1.8,0,0,0,3.9,0,216.9
BTC,2024-05-07,07 May 2024,0,4.1,0,3.3,0,0,0,0,0,0,0,0,7.4
BTC,2024-05-08,08 May 2024,0,0,0,0,0,0,0,0,0,0,-30.6,0,-30.6
BTC,2024-05-09,09 May 2024,14.2,2.7,6.8,4.4,0,0,0,1.8,0,0,-43.4,0,-13.5
BTC,2024-05-10,10 May 2024,12.4,5.3,5.5,12.1,0,0,0,7.3,0,0,-103,0,-60.4
BTC,2024-05-13,13 May 2024,0,38.6,20.3,0,0,0,0,7.1,0,0,0,0,66
BTC,2024-05-14,14 May 2024,100.5,8.1,1.8,133.1,5.5,1.8,1.8,8.4,0,0,27,0,288
BTC,2024-05-15,15 May 2024,93.7,131.3,86.3,38.6,4.6,3.8,1.9,15.1,0,0,-27,0,348.3
BTC,2024-05-16,16 May 2024,94,67.1,1.4,62,6.1,3.8,18.5,15.1,0,0,4.6,0,272.7
BTC,2024-05-17,17 May 2024,38.1,99.4,20.8,10,6.4,0,0,9.5,0,0,0,0,184.2
BTC,2024-05-20,20 May 2024,66.4,64,0,68.3,0,1.8,0,0,0,0,9.3,0,209.8
BTC,2024-05-21,21 May 2024,290,25.8,4.2,43.3,0,0,0,5.6,0,0,0,0,368.9
BTC,2024-05-22,22 May 2024,92,75.6,3.7,3,0,0,0,0,0,0,16.1,0,190.4
BTC,2024-05-23,23 May 2024,89,19.1,11,2,2.9,0,2,9.5,0,0,0,0,135.5
BTC,2024-05-24,24 May 2024,182.1,43.7,6.4,4.1,1.3,0,0,15.6,0,0,0,0,253.2
BTC,2024-05-27,27 May 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-05-28,28 May 2024,102.5,34.3,1.8,4.1,2.2,0,0,1.8,0,0,-105.2,0,41.5
BTC,2024-05-29,29 May 2024,24.6,17.7,11,4.1,2.4,0,0,3.5,0,0,-31.1,0,32.2
BTC,2024-05-30,30 May 2024,1.6,119.1,25.9,9.5,2,0,0,1.9,0,0,0,0,160
BTC,2024-05-31,31 May 2024,169.1,5.9,0,4,0,0,0,15.6,0,0,0,0,194.6
BTC,2024-06-03,03 Jun 2024,77.4,70,14.3,138,2,0,0,1.4,0,0,0,0,303.1
BTC,2024-06-04,04 Jun 2024,274.4,378.7,61,138,2,0,1.8,4,0,0,28.2,0,888.1
BTC,2024-06-05,05 Jun 2024,155.4,220.6,18.5,71.4,2.1,0,0,3.8,0,0,14.6,0,486.4
BTC,2024-06-06,06 Jun 2024,350.4,3.1,7.8,0,2,0,0,0,0,0,0,0,363.3
BTC,2024-06-07,07 Jun 2024,168.3,3,7.6,136.5,0,0,0,0,0,0,0,0,315.4
BTC,2024-06-10,10 Jun 2024,0,3,7.6,8.6,0,0,0,0,0,0,-39.5,0,-20.3
BTC,2024-06-11,11 Jun 2024,0,0,12,56.5,6,0,0,0,0,0,-121,0,-46.5
BTC,2024-06-12,12 Jun 2024,15.6,50.6,14.5,9.9,0,0,0,11.6,0,0,0,0,102.2
BTC,2024-06-13,13 Jun 2024,18,50.6,11.1,8.1,0,1.9,0,11.6,0,0,0,0,101.3
BTC,2024-06-14,14 Jun 2024,0,1.4,0,0,0,0,0,0,0,0,0,0,1.4
BTC,2024-06-17,17 Jun 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-06-18,18 Jun 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-06-19,19 Jun 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-06-20,20 Jun 2024,1.5,3.5,0,0,0,0,0,0,0,0,0,0,5
BTC,2024-06-21,21 Jun 2024,0,0,0,0,0,0,0,0,0,0,-34.2,0,-34.2
BTC,2024-06-24,24 Jun 2024,0,0,0,0,0,0,0,0,0,0,-90.4,0,-90.4
BTC,2024-06-25,25 Jun 2024,0,49,15.2,0,0,0,0,4,0,0,0,0,68.2
BTC,2024-06-26,26 Jun 2024,21.4,18.6,4.3,0,0,0,0,3.4,0,0,0,0,47.7
BTC,2024-06-27,27 Jun 2024,17.8,18.6,4.3,0,0,0,0,4,0,0,11.9,0,56.6
BTC,2024-06-28,28 Jun 2024,82.4,35.2,7.4,42.8,4.1,0,0,8,0,0,0,0,179.9
BTC,2024-07-01,01 Jul 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-07-02,02 Jul 2024,14.1,49,14.5,15.9,2.7,0,0,0,0,0,27,0,123.2
BTC,2024-07-03,03 Jul 2024,0,6.5,0,0,0,0,0,0,0,0,0,0,6.5
BTC,2024-07-04,04 Jul 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-07-05,05 Jul 2024,0,117.4,30.2,11.3,0,0,0,12.8,0,0,-28.6,0,143.1
BTC,2024-07-08,08 Jul 2024,187.2,61.5,0,8.4,0,0,0,0,0,0,25.1,0,282.2
BTC,2024-07-09,09 Jul 2024,121,91,4.1,43.3,0,3.9,0,3.3,0,0,37.5,0,304.1
BTC,2024-07-10,10 Jul 2024,22.2,57.8,4.7,44.5,0,31.7,0,4.7,0,0,8.2,0,173.8
BTC,2024-07-11,11 Jul 2024,72.1,32.7,7.5,4.3,0,0,0,3.3,0,0,37.7,0,157.6
BTC,2024-07-12,12 Jul 2024,120,115.1,28.4,13,0,0,0,6,0,0,23,0,305.5
BTC,2024-07-15,15 Jul 2024,117.2,36.1,15.2,117.2,0,0,0,3.6,0,0,0,0,289.3
BTC,2024-07-16,16 Jul 2024,260.2,61.1,17.3,29.8,0,0,0,22,0,0,0,0,390.4
BTC,2024-07-17,17 Jul 2024,110.4,2.8,6.2,2.7,0,0,0,0,0,0,53.2,0,175.3
BTC,2024-07-18,18 Jul 2024,107.9,2.8,17.4,20.6,0,0,0,0,0,0,-53.9,0,94.8
BTC,2024-07-19,19 Jul 2024,116.2,141,44.6,4.3,0,0,0,41.7,0,0,20.3,0,368.1
BTC,2024-07-22,22 Jul 2024,205.6,9.7,7.5,0,0,0,0,0,0,0,0,0,222.8
BTC,2024-07-23,23 Jul 2024,71.9,34.3,19.1,13.3,0,0,0,16.3,0,0,-27.3,0,127.6
BTC,2024-07-24,24 Jul 2024,66,1.4,0,3.3,0,0,0,0,0,0,26.2,0,96.9
BTC,2024-07-25,25 Jul 2024,70.7,34.3,16,26.3,0,0,0,16,0,0,39.6,0,202.9
BTC,2024-07-26,26 Jul 2024,87.8,19.5,31.4,22.1,0,0,0,8.6,0,0,-26.5,0,142.9
BTC,2024-07-29,29 Jul 2024,205.6,5.9,2,0,0,0,0,0,0,0,54.3,0,267.8
BTC,2024-07-30,30 Jul 2024,74.9,0,3.2,0,0,0,0,0,0,0,-73.6,0,4.5
BTC,2024-07-31,31 Jul 2024,20.9,18.8,0,3.3,0,0,0,0,0,0,0,0,43
BTC,2024-08-01,01 Aug 2024,25.9,0,0,3.3,0,0,0,0,0,0,0,0,29.2
BTC,2024-08-02,02 Aug 2024,42.8,0,0,0,0,0,0,0,0,0,-45.9,0,-3.1
BTC,2024-08-05,05 Aug 2024,0,0,0,0,0,0,0,0,0,0,-69.1,0,-69.1
BTC,2024-08-06,06 Aug 2024,0,0,0,0,0,0,0,0,0,0,-32.4,0,-32.4
BTC,2024-08-07,07 Aug 2024,52.5,0,0,0,0,0,0,0,0,0,-30.6,0,21.9
BTC,2024-08-08,08 Aug 2024,157.6,65.2,7.5,32.8,0,0,0,3.4,0,0,-182.9,0,83.6
BTC,2024-08-09,09 Aug 2024,18.5,60,11.1,0,0,0,0,0,0,0,-77,0,12.6
BTC,2024-08-12,12 Aug 2024,13.4,0,0,35.4,0,0,0,0,0,0,-11.8,0,37
BTC,2024-08-13,13 Aug 2024,34.6,22.6,16.5,0,0,0,0,0,0,0,-28.6,0,45.1
BTC,2024-08-14,14 Aug 2024,16.1,0,2.7,0,0,0,0,0,0,0,0,0,18.8
BTC,2024-08-15,15 Aug 2024,20.9,61.3,12,13.4,0,0,0,0,0,0,0,0,107.6
BTC,2024-08-16,16 Aug 2024,25.8,13.6,6.2,7.4,0,0,0,4.4,0,0,0,0,57.4
BTC,2024-08-19,19 Aug 2024,92.7,3.9,0,0,0,0,0,0,0,0,0,0,96.6
BTC,2024-08-20,20 Aug 2024,55.4,61.3,20.5,51.9,0,0,0,0,0,0,12.8,0,201.9
BTC,2024-08-21,21 Aug 2024,55.4,61.3,11,51.9,0,0,0,0,0,0,9.8,0,189.4
BTC,2024-08-22,22 Aug 2024,75.5,9.2,11.5,7.8,0,0,0,0,0,0,-28.6,0,75.4
BTC,2024-08-23,23 Aug 2024,86.8,64,42.3,23.8,3.4,0,0,2,0,0,35.6,0,257.9
BTC,2024-08-26,26 Aug 2024,224.1,5.9,16.6,8.5,0,0,0,7.4,0,0,0,0,262.5
BTC,2024-08-27,27 Aug 2024,102.6,34.3,16.6,0,0,0,0,3.9,0,0,0,0,157.4
BTC,2024-08-28,28 Aug 2024,13.5,0,24,0,0,0,0,0,0,0,0,0,37.5
BTC,2024-08-29,29 Aug 2024,13.5,0,0,0,0,0,0,0,0,0,-22.7,0,-9.2
BTC,2024-08-30,30 Aug 2024,0,0,0,0,0,0,0,0,0,0,-70.2,0,-70.2
BTC,2024-09-02,02 Sep 2024,0,0,0,0,0,0,0,0,0,0,-46.6,0,-46.6
BTC,2024-09-03,03 Sep 2024,0,0,0,0,0,0,0,0,0,0,-280.7,0,-280.7
BTC,2024-09-04,04 Sep 2024,0,0,0,0,0,0,0,0,0,0,-70.2,0,-70.2
BTC,2024-09-05,05 Sep 2024,0,0,0,0,0,0,0,0,0,0,-109.4,0,-109.4
BTC,2024-09-06,06 Sep 2024,0,0,0,0,0,0,0,0,0,0,-52.9,0,-52.9
BTC,2024-09-09,09 Sep 2024,9.1,28.6,21.3,0,0,0,0,0,0,0,0,0,59
BTC,2024-09-10,10 Sep 2024,0,63.2,38.9,0,0,0,0,0,0,0,0,0,102.1
BTC,2024-09-11,11 Sep 2024,0,12.6,0,0,0,0,0,0,0,0,0,0,12.6
BTC,2024-09-12,12 Sep 2024,0,0,0,0,0,0,0,0,0,0,-20.1,0,-20.1
BTC,2024-09-13,13 Sep 2024,0,102.1,43.1,99.3,0,0,0,0,0,0,26.1,0,270.6
BTC,2024-09-16,16 Sep 2024,15.8,5.1,0,0,0,0,0,0,0,0,0,0,20.9
BTC,2024-09-17,17 Sep 2024,56.6,116.7,45.4,43.4,4.3,0,0,4.9,0,0,0,0,271.3
BTC,2024-09-18,18 Sep 2024,0,8.1,2.1,0,0,0,0,0,0,0,0,0,10.2
BTC,2024-09-19,19 Sep 2024,49.9,2.9,0,81.1,0,0,0,0,0,0,0,0,133.9
BTC,2024-09-20,20 Sep 2024,0,92,26.1,21.6,0,0,0,1.9,0,0,0,0,141.6
BTC,2024-09-23,23 Sep 2024,11.5,24.9,22.6,8.8,0,0,0,7.1,0,0,-40.3,0,34.6
BTC,2024-09-24,24 Sep 2024,98.9,16.8,17.4,33.6,0,0,0,4.9,0,0,-35.6,0,136
BTC,2024-09-25,25 Sep 2024,184.4,2.5,2.1,0,2.1,0,0,1.8,0,0,-7.7,0,185.2
BTC,2024-09-26,26 Sep 2024,93.4,74,50.4,113.8,6.5,0,0,22.1,0,0,-7.7,0,352.5
BTC,2024-09-27,27 Sep 2024,110.8,123.6,12.9,203.1,3.2,0,0,11.2,0,0,26.2,0,491
BTC,2024-09-30,30 Sep 2024,72.2,8.3,9.7,0,0,0,0,0,0,0,-8.1,0,82.1
BTC,2024-10-01,01 Oct 2024,40.8,0,0,0,0,0,0,0,0,0,-5.9,0,34.9
BTC,2024-10-02,02 Oct 2024,13.7,21.1,0,0,0,0,0,0,0,0,0,0,34.8
BTC,2024-10-03,03 Oct 2024,35.9,0,2.6,12.6,0,0,0,0,0,0,0,0,51.1
BTC,2024-10-04,04 Oct 2024,0,25,15.3,13,0,0,0,0,0,0,-13.9,0,39.4
BTC,2024-10-07,07 Oct 2024,97.9,103.7,0,13,0,0,0,2.9,0,0,0,0,217.5
BTC,2024-10-08,08 Oct 2024,39.6,0,0,0,0,0,0,3.4,0,0,-30.6,0,12.4
BTC,2024-10-09,09 Oct 2024,0,0,0,0,0,0,0,0,0,0,-40.6,0,-40.6
BTC,2024-10-10,10 Oct 2024,0,0,0,0,0,0,0,0,0,0,-30.6,0,-30.6
BTC,2024-10-11,11 Oct 2024,0,0,0,0,0,0,0,0,0,0,-20.1,0,-20.1
BTC,2024-10-14,14 Oct 2024,79.5,103.7,3.8,12.6,0,0,0,0,0,0,37.8,0,237.4
BTC,2024-10-15,15 Oct 2024,288.8,35,4.5,14.7,0,0,0,7.6,0,0,73.6,0,424.2
BTC,2024-10-16,16 Oct 2024,393.4,14.8,12,11.5,0,0,0,11.8,0,0,0,0,443.5
BTC,2024-10-17,17 Oct 2024,309,11.7,2.3,100.2,0,0,0,10.1,0,0,45.7,0,479
BTC,2024-10-18,18 Oct 2024,70.4,18,16,12.9,0,0,0,23.3,0,0,20.8,0,161.4
BTC,2024-10-21,21 Oct 2024,329,5.9,4.8,6.1,0,0,0,7.6,0,0,4.8,0,358.2
BTC,2024-10-22,22 Oct 2024,42.9,8.9,0,11.3,0,0,0,3.8,0,0,0,0,66.9
BTC,2024-10-23,23 Oct 2024,0,12.6,9.2,3.8,0,0,0,9.8,0,0,0,0,35.4
BTC,2024-10-24,24 Oct 2024,188.7,2,7.4,2,0,0,0,0,0,0,7.2,0,207.3
BTC,2024-10-25,25 Oct 2024,291.9,56.9,33.2,16.7,0,0,0,5.9,0,0,0,0,404.6
BTC,2024-10-28,28 Oct 2024,315.2,44.1,38.7,59.8,0,0,0,7,0,0,21.6,0,486.4
BTC,2024-10-29,29 Oct 2024,642.9,133.9,52.5,12.4,5.7,0,5.9,16.5,0,0,0,0,869.8
BTC,2024-10-30,30 Oct 2024,872,12.6,23.9,7.2,7.2,0,6.1,4.2,0,0,0,0,933.2
BTC,2024-10-31,31 Oct 2024,318.8,0,0,13,0,0,0,0,0,0,31.2,0,363
BTC,2024-11-01,01 Nov 2024,0,0,0,0,0,0,0,0,0,0,-5.5,0,-5.5
BTC,2024-11-04,04 Nov 2024,0,0,0,0,0,0,0,0,0,0,-63.7,0,-63.7
BTC,2024-11-05,05 Nov 2024,38.4,25.2,0,33.4,0,0,0,0,0,0,0,0,97
BTC,2024-11-06,06 Nov 2024,284.3,113.8,0,0,9.4,0,0,3.9,0,0,0,0,411.4
BTC,2024-11-07,07 Nov 2024,1119.9,190.9,13.4,17.6,20.7,3.9,7.2,5.6,0,0,-20.7,15.6,1373.8
BTC,2024-11-08,08 Nov 2024,206.1,61.3,8.4,17.6,0,0,0,0,0,0,0,19.2,312.6
BTC,2024-11-11,11 Nov 2024,756.5,135.1,0,108.6,0,0,0,5.7,0,0,24.2,28.8,1058.9
BTC,2024-11-12,12 Nov 2024,778.3,37.2,17.3,138.3,0,0,0,0,0,0,0,57.4,1028.5
BTC,2024-11-13,13 Nov 2024,230.8,186.1,61,12.8,0,0,2,12.2,0,0,-75.1,12.3,442.1
BTC,2024-11-14,14 Nov 2024,126.5,21.7,0,13.1,0,0,0,2.5,0,0,-7.3,5.1,161.6
BTC,2024-11-15,15 Nov 2024,0,0,0,0,0,0,0,0,0,0,-22.4,0,-22.4
BTC,2024-11-18,18 Nov 2024,89.3,59.9,0,13.2,0,0,0,0,0,0,-14.4,6.5,154.5
BTC,2024-11-19,19 Nov 2024,816.4,256.1,68,267.3,0,0,0,1.9,0,0,0,5,1414.7
BTC,2024-11-20,20 Nov 2024,628.3,133.9,9.8,9.3,0,0,0,0,0,0,-16.7,5.8,770.4
BTC,2024-11-21,21 Nov 2024,608.4,300.9,68,17.2,0,0,0,5.6,0,0,-7.8,6.9,999.2
BTC,2024-11-22,22 Nov 2024,513.2,21.7,16.6,267.3,0,0,0,5.6,0,0,0,5.7,830.1
BTC,2024-11-25,25 Nov 2024,267.8,60,0,0,0,0,0,0,0,0,-158.3,0,169.5
BTC,2024-11-26,26 Nov 2024,0,0,0,0,0,0,0,0,0,0,-36.1,0,-36.1
BTC,2024-11-27,27 Nov 2024,0,0,0,0,0,0,0,0,0,0,-21.3,0,-21.3
BTC,2024-11-28,28 Nov 2024,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC,2024-11-29,29 Nov 2024,137.5,106.5,26.7,102.9,0,0,0,33.2,0,0,0,0,406.8
BTC,2024-12-02,02 Dec 2024,338.3,25.1,0,17.2,0,0,0,0,0,0,-28.2,6.1,358.5
BTC,2024-12-03,03 Dec 2024,693.3,52.2,0,93.5,0,0,0,16.2,0,0,-35.8,6.8,826.2
BTC,2024-12-04,04 Dec 2024,571.7,17,6.6,93.5,21.8,0,0,0,0,0,-94.3,55.7,672
BTC,2024-12-05,05 Dec 2024,770.5,47.5,0,12.3,14.2,0,0,2,0,0,-148.8,47.1,744.8
BTC,2024-12-06,06 Dec 2024,766.7,47.5,0,12.3,14.2,0,0,2,0,0,-148.8,0,693.9
BTC,2024-12-09,09 Dec 2024,398.6,175.5,0,7.8,0,0,0,0,0,0,-364.7,7.4,224.6
BTC,2024-12-10,10 Dec 2024,295.6,210.5,0,108.8,0,0,0,0,0,0,-148.8,15.8,481.9
BTC,2024-12-11,11 Dec 2024,734.5,101.7,0,0,0,0,0,0,0,0,-16.8,0,819.4
BTC,2024-12-12,12 Dec 2024,741.4,115.1,0,0,0,0,0,0,0,0,-107,0,749.5
